trial,slope,temperature,beta,lr,polyak_alpha,polyak_beta,init_dist,init_C_m,init_g_L,init_v_reset,init_v_T,init_E_L,init_delta_T,final_loss,min_loss,gamma,n_spikes_sim,elapsed_s
0,7.852582461281652,0.027998300896645015,8.584587719258248,0.04554516527685851,0.0,0.0,2.7052035041882716,0.3957509705081966,60.174312449037245,11.30342160448495,-53.15984678940154,-55.83409642428814,-108.02637724619377,9.352160130725435,16.13725471496582,16.056324005126953,nan,0,1.3770990371704102
1,4.669345177644497,0.14289599204558903,5.017505429293386,0.015423820910732921,0.0,0.0,0.5178824474922269,0.2353471576521727,188.02553977826054,11.206238684593142,-55.43413978548931,-49.92901650016579,-99.42745046361186,11.10379802240758,15.875728607177734,15.780465126037598,nan,0,1.144413948059082
2,8.656680239158133,0.047418716582792106,9.576776454040932,0.0030882289821812423,0.0,0.0,5.055169376775171,0.3674523552362046,57.004109562315286,11.809829575880526,-73.1061740414183,-52.71841833214146,-87.20548497546476,10.247488748726404,0.734993040561676,0.6810157299041748,-0.005602240896358641,8,1.147968053817749
3,7.124996276063957,0.054174745945696955,6.857151307459631,0.030999165397996867,0.0,0.0,0.30335720936452126,0.2675482306431605,148.19535657361675,9.499556803999337,-47.818434202146804,-39.00164764507029,-70.43989469435127,12.960814856665314,3.1466028690338135,3.1081583499908447,0.019047619047619067,5,1.1584999561309814
4,1.3946848049326706,0.19336201577876094,2.043089787873245,0.0014755767083059436,0.0,0.0,1.1934026013488372,0.14930745678475463,156.05182064798547,10.87358946972759,-64.77905459524904,-51.94734997331843,-83.35987006480083,1.4851049056305559,2.7602286338806152,2.6792187690734863,0.2,5,1.1252200603485107
5,9.768412340549181,0.12394894355536763,8.965836894041207,0.035386341866157835,0.0,0.0,0.23349545654650458,0.38277594368937,11.714979227474698,12.81313461037399,-78.37515843278322,-46.88012124166455,-82.32555066726597,4.765253362826277,3.4621527194976807,3.420738458633423,-0.25235404896421837,9,1.1432452201843262
6,7.730827168908354,0.27733721054494853,5.40338671747718,0.015134582479138504,0.0,0.0,0.978591034905104,0.2907900768027892,216.0180928009841,7.520766173987,-49.04197544216639,-40.92524326667412,-99.16656709141127,3.864139159245777,15.72203254699707,15.72203254699707,nan,0,1.1726148128509521
7,7.967610900131061,0.10255538343634031,2.2747507117561447,0.0016653312696078744,0.0,0.0,0.2018055091299442,0.505136963596159,82.73352334283408,9.183604530162198,-71.39753632253768,-35.02771128113942,-99.66564486921885,16.78206171267428,15.692670822143555,15.692670822143555,nan,0,1.2032830715179443
8,1.717079510417686,0.2205922372313313,2.3742112045727866,0.00144215229753275,0.0,0.0,0.21045403108634034,0.32832155301814286,46.59708183080874,13.841957002207579,-72.10667896009203,-49.45778613041019,-84.86461699544421,3.285428587965773,5.814966678619385,5.814966678619385,0.24660397074190177,2,1.1513729095458984
9,4.7786664100078875,0.1437188347449232,7.187805415988846,0.03174480523473066,0.0,0.0,1.6766667583489032,0.12543655636081166,197.8686155201933,8.19748426144664,-60.77555344394177,-46.259154732668826,-82.88117064533968,2.054233743961979,3.7427589893341064,3.7121918201446533,0.2745861733203505,4,1.1256771087646484
