scenario_idx,base,method,delta,direction_idx,n_clipped,init_loss,final_loss,converged,iters_to_tol,n_iter,elapsed_s,param_err_C_m,param_err_E_L,param_err_g_L,C_m_gt,E_L_gt,g_L_gt,C_m_fit,E_L_fit,g_L_fit
0,tonic,grad,0.1,0,0,0.09664947539567947,0.011845767498016357,1,0,25,0.9924910068511963,0.05751283054774379,0.00067181562584469,0.15509925056842722,198.21533200742638,-69.70136619722761,9.660674272430121,184.9873809814453,-69.73159790039062,10.901468276977539
0,tonic,nm,0.1,0,0,0.09664947539567947,0.012094887904822826,1,0,25,0.3888392448425293,0.0793686369925649,0.0018556100554999629,0.17309428916281222,198.21533200742638,-69.70136619722761,9.660674272430121,179.96054549913646,-69.61786374473012,11.045428585732619
1,tonic,grad,0.1,1,0,0.5354226231575012,0.027597293257713318,1,7,25,0.6049082279205322,0.165711579074843,0.004591217588680744,0.19180808277306038,194.3568272497139,-68.68678967872421,10.078198606858486,156.2431640625,-68.89339447021484,11.612663269042969
1,tonic,nm,0.1,1,0,0.5354226231575012,0.13938668370246887,0,-1,25,0.4004800319671631,0.01734946765232275,0.011684478228739041,0.08291791317644748,194.3568272497139,-68.68678967872421,10.078198606858486,190.36644968967965,-69.21259119901747,10.741541912270065
2,tonic,grad,0.1,2,0,5.560669422149658,0.024801474064588547,1,2,25,0.5945098400115967,0.041678488251598304,0.007140722703498328,0.1784694093079886,208.06833612986676,-72.16203076384492,9.721694073985798,217.65438842773438,-71.8406982421875,11.149449348449707
2,tonic,nm,0.1,2,0,5.560669422149658,0.02861335501074791,1,4,25,0.38916802406311035,0.007235096228354519,0.003894041929857571,0.10519727836492732,208.06833612986676,-72.16203076384492,9.721694073985798,206.40426399734523,-72.33726265068852,10.563272300905217
3,tonic,grad,0.1,3,2,1.3764934539794922,0.00757942721247673,1,12,25,0.584244966506958,0.07934634412130381,0.0004584470114451733,0.18668436133073696,204.2811380297358,-68.08834099197988,9.949261735025491,186.03147888183594,-68.06771087646484,11.442736625671387
3,tonic,nm,0.1,3,2,1.3764934539794922,0.08744947612285614,1,20,25,0.38663315773010254,0.00918555988456534,0.0010913954409813994,0.08378801226779808,204.2811380297358,-68.08834099197988,9.949261735025491,202.1684592562858,-68.13745378682404,10.619565833167876
4,tonic,grad,0.1,4,0,0.25744181871414185,0.01160252746194601,1,7,25,0.6219329833984375,0.0919323856467859,0.0008695198786069922,0.16722482871253153,192.49450057864357,-69.28188046973263,10.469853843749455,171.3500518798828,-69.24275207519531,11.807652473449707
4,tonic,nm,0.1,4,0,0.25744181871414185,0.012670581229031086,1,16,25,0.38907384872436523,0.05456239331415294,0.0027478167695073174,0.13369015318119093,192.49450057864357,-69.28188046973263,10.469853843749455,179.9451501163884,-69.40553222436046,11.539375069198982
5,tonic,grad,0.1,5,0,3.080915689468384,0.034369442611932755,1,6,25,0.6479151248931885,0.05446758824568156,0.00698314449711164,0.19414032724788077,203.83407274548543,-71.5914097762958,9.667944810605821,216.3616180419922,-71.27716827392578,11.221067428588867
5,tonic,nm,0.1,5,0,3.080915689468384,0.06806127727031708,1,23,25,0.4594240188598633,9.025939018791317e-05,0.008768309706039822,0.06805745686699827,203.83407274548543,-71.5914097762958,9.667944810605821,203.8133130857422,-71.9859837130676,10.212404465541807
6,tonic,grad,0.1,6,0,0.38047200441360474,0.02437163144350052,1,4,25,0.5924248695373535,0.07470256882395893,0.0037337633099367748,0.2855481462501781,195.802547250409,-68.92641168293153,10.01738217924174,178.62095642089844,-68.75839233398438,12.301767349243164
6,tonic,nm,0.1,6,0,0.38047200441360474,0.017908213660120964,1,17,25,0.38867783546447754,0.13657006535203445,0.0038471139163119812,0.2227487445975962,195.802547250409,-68.92641168293153,10.01738217924174,164.39143221944107,-69.09953180916557,11.799372136022509
7,tonic,grad,0.1,7,0,1.9994053840637207,0.011696986854076385,1,14,25,0.5889718532562256,0.09164054378328451,6.732721742979367e-05,0.1728316040193567,193.05953332210856,-67.76323614435628,10.369629310484306,171.98220825195312,-67.76626586914062,11.75228214263916
7,tonic,nm,0.1,7,0,1.9994053840637207,0.3149402141571045,0,-1,25,0.3903539180755615,0.06237713112470581,0.02031826614004299,0.04856120945956288,193.05953332210856,-67.76323614435628,10.369629310484306,207.4062734807909,-68.67755812065822,9.981139634807803
8,tonic,grad,0.1,8,0,1.2693120241165161,0.014263469725847244,1,5,25,0.593815803527832,0.012459954286897256,0.00396888302318372,0.22565951014930352,193.7512912024902,-70.60447253877764,9.768796756635162,196.61708068847656,-70.42587280273438,11.57407283782959
8,tonic,nm,0.1,8,0,1.2693120241165161,0.14694669842720032,0,-1,25,0.3944401741027832,0.04321912088163035,0.003383669781362957,0.07053511590833583,193.7512912024902,-70.60447253877764,9.768796756635162,203.69168900526518,-70.75673767893898,10.333077683901848
