trial,loss_type,surrogate_type,surrogate_slope,optimizer,learning_rate,use_param_transform,grad_clip_norm,polyak_alpha,polyak_beta,temperature,feature_beta,validity_beta,weight_spike_count,tau_ms,weight_subthreshold,warmstart_loss,train_best_loss,train_final_loss,kept_source,kept_loss,improvement,gamma,n_spikes_sim,n_spikes_gt,n_iter,elapsed_s
0,guarino,superspike,2.5239432964933743,polyak,0.02718890264522166,True,,1.046052043589046,0.09417734788764953,0.48903005823654017,15.461654337816707,15.935221800262122,0.03843408980266376,nan,nan,0.23378203809261322,1.171485185623169,13.45529556274414,warmstart,0.23378203809261322,-0.9377031475305557,1.0,9,9,25,2.4574856758117676
1,guarino,superspike,3.86765834782595,polyak,1.7999855738190505e-05,True,,0.9474965986830972,0.7580877400853738,0.20953668565844077,19.443262463503164,17.969301305121757,0.23351504912212856,nan,nan,1.0195183753967285,1.1794520616531372,1.1794829368591309,warmstart,1.0195183753967285,-0.1599336862564087,0.020761245674740504,8,9,25,1.6727559566497803
2,guarino,superspike,1.6632662484772907,polyak,0.0003032765451962616,True,,0.7043337169137118,0.1894713590842857,0.10846467740096224,10.03839359829274,5.3112776319667985,0.2009441984047531,nan,nan,0.6927028298377991,0.5927852392196655,6465.072265625,training,0.5927852392196655,0.09991759061813354,0.0,0,9,25,1.5858190059661865
3,guarino,superspike,1.4484013602837644,polyak,0.005370095583865395,True,,0.2998623037126625,0.007362269751005512,0.40411596987596227,13.632166275248611,14.398142193900368,0.23421870930659036,nan,nan,0.5239136815071106,0.7595563530921936,1.2752819061279297,warmstart,0.5239136815071106,-0.235642671585083,-0.5625,9,9,25,1.9121158123016357
4,van_rossum,superspike,8.405122883024442,polyak,0.0034583845312164867,True,,0.8303691009869938,0.5592071607454135,nan,nan,nan,nan,3.2839920676156176,0.030817834567939406,3.116859197616577,3.7599711418151855,1026.8961181640625,warmstart,3.116859197616577,-0.6431119441986084,0.1319444444444445,9,9,25,1.3461940288543701
5,guarino,superspike,1.476810655970404,polyak,0.004442895095455172,False,,1.1758473136596201,0.6643135403273875,0.23287408764803175,16.46638730865466,4.172485478246374,0.006813621940158143,nan,nan,0.3830118179321289,0.7300933599472046,37604.8515625,warmstart,0.3830118179321289,-0.3470815420150757,-0.5625,9,9,6,1.4603967666625977
6,guarino,superspike,2.5926215304535107,polyak,0.00033426038140075973,True,,0.4522681337218148,0.6302825931188885,0.21281567474902569,2.665348467005919,3.242112140289791,0.28856929936485437,nan,nan,0.41932472586631775,0.6843511462211609,0.7176169753074646,warmstart,0.41932472586631775,-0.26502642035484314,-0.5625,9,9,25,1.8868138790130615
7,guarino,superspike,1.364951809320436,polyak,2.429762631852512e-05,False,,0.6836644347504166,0.20236336479523032,0.18768048086779363,12.005171809896023,4.358682875845402,0.25698428522771266,nan,nan,1.0430254936218262,0.9071175456047058,0.9072104692459106,training,0.9071175456047058,0.13590794801712036,-0.38888888888888884,9,9,25,1.755547046661377
8,van_rossum,superspike,2.3180265580765265,polyak,1.4670897925451902e-05,False,,0.7409862288667783,0.3298612123327853,nan,nan,nan,nan,1.7601199351234742,0.10340296772255164,4.390852928161621,6.055249214172363,6.055252552032471,warmstart,4.390852928161621,-1.6643962860107422,0.05533596837944664,2,9,25,3.013655185699463
9,guarino,superspike,17.164824571307413,polyak,0.0008495985211233266,False,,0.12409499988365785,0.48665833083816035,0.2708181474595344,18.818702644524674,11.862832995145432,0.14204682031708613,nan,nan,0.7115304470062256,1.1650445461273193,1.1914163827896118,warmstart,0.7115304470062256,-0.45351409912109375,-0.5625,9,9,25,2.387953996658325
