scenario,delta,direction_idx,gamma,n_spikes_sim
tonic,0.4,15,-1.0,256
tonic,0.4,16,-0.2637362637362637,4
tonic,0.4,17,0.14736842105263157,6
tonic,0.4,18,0.19377162629757788,8
tonic,0.4,19,0.10256410256410257,4
tonic,0.4,20,0.28571428571428575,4
tonic,0.4,21,-0.20350877192982458,6
tonic,0.4,22,-0.20350877192982458,6
tonic,0.4,23,-0.007905138339921132,14
tonic,0.4,24,0.08333333333333325,7
tonic,0.4,25,-1.0,855
tonic,0.4,26,-0.007905138339921132,14
tonic,0.4,27,-1.0,48
tonic,0.4,28,-0.5625,9
tonic,0.4,29,0.28571428571428575,4
tonic,0.8,0,-0.09027777777777786,7
tonic,0.8,1,-1.0,53
tonic,0.8,2,-0.015151515151515166,3
tonic,0.8,3,-0.075,1
tonic,0.8,4,-1.0,30
tonic,0.8,5,0.9473684210526316,10
tonic,0.8,6,0.1250000000000001,15
tonic,0.8,7,0.10256410256410257,4
tonic,0.8,8,0.5624999999999994,23
tonic,0.8,9,-1.0,1844
tonic,0.8,10,0.5806451612903227,22
tonic,0.8,11,-1.0,32
tonic,0.8,12,0.035714285714285705,5
tonic,0.8,13,-1.0,54
tonic,0.8,14,0.12454212454212447,12
tonic,0.8,15,-1.0,864
tonic,0.8,16,-0.20454545454545459,3
tonic,0.8,17,0.0,0
tonic,0.8,18,0.08333333333333325,7
tonic,0.8,19,0.05533596837944664,2
tonic,0.8,20,-0.14229249011857706,2
tonic,0.8,21,-0.14285714285714288,5
tonic,0.8,22,0.2142857142857143,5
tonic,0.8,23,0.38735177865612636,14
tonic,0.8,24,0.035714285714285705,5
tonic,0.8,25,-1.0,1792
tonic,0.8,26,0.12454212454212447,12
tonic,0.8,27,-1.0,1250
tonic,0.8,28,0.30555555555555564,9
tonic,0.8,29,0.0,0
adaptation,0.02,0,0.75,5
adaptation,0.02,1,1.0,5
adaptation,0.02,2,0.31746031746031744,4
adaptation,0.02,3,0.25,5
adaptation,0.02,4,0.8465608465608466,4
adaptation,0.02,5,1.0,5
adaptation,0.02,6,1.0,5
adaptation,0.02,7,0.75,5
adaptation,0.02,8,0.5820105820105821,4
adaptation,0.02,9,1.0,5
adaptation,0.02,10,1.0,5
adaptation,0.02,11,0.25,5
adaptation,0.02,12,0.5820105820105821,4
adaptation,0.02,13,0.5820105820105821,4
adaptation,0.02,14,0.75,5
adaptation,0.02,15,0.75,5
adaptation,0.02,16,1.0,5
adaptation,0.02,17,0.75,5
adaptation,0.02,18,1.0,5
adaptation,0.02,19,0.5,5
adaptation,0.02,20,0.8465608465608466,4
