scenario_idx,base,method,delta,direction_idx,iter,loss
2,tonic,grad,0.1,2,21,0.26786819100379944
2,tonic,grad,0.1,2,22,0.15254397690296173
2,tonic,grad,0.1,2,23,0.06283359974622726
2,tonic,grad,0.1,2,24,0.03783858194947243
2,tonic,nm,0.1,2,0,5.5606689453125
2,tonic,nm,0.1,2,1,5.160374641418457
2,tonic,nm,0.1,2,2,0.6145614385604858
2,tonic,nm,0.1,2,3,4.434574127197266
2,tonic,nm,0.1,2,4,0.052641190588474274
2,tonic,nm,0.1,2,5,0.500343918800354
2,tonic,nm,0.1,2,6,1.788298487663269
2,tonic,nm,0.1,2,7,11.657187461853027
2,tonic,nm,0.1,2,8,0.9264505505561829
2,tonic,nm,0.1,2,9,2.3380281925201416
2,tonic,nm,0.1,2,10,0.5684455037117004
2,tonic,nm,0.1,2,11,3.549271821975708
2,tonic,nm,0.1,2,12,0.16528233885765076
2,tonic,nm,0.1,2,13,0.3140360713005066
2,tonic,nm,0.1,2,14,1.9268132448196411
2,tonic,nm,0.1,2,15,0.11425556987524033
2,tonic,nm,0.1,2,16,0.27348682284355164
2,tonic,nm,0.1,2,17,0.11725759506225586
2,tonic,nm,0.1,2,18,0.48771601915359497
2,tonic,nm,0.1,2,19,0.060950927436351776
2,tonic,nm,0.1,2,20,0.06061282753944397
2,tonic,nm,0.1,2,21,0.3621383309364319
2,tonic,nm,0.1,2,22,0.04421539977192879
2,tonic,nm,0.1,2,23,0.02861335501074791
2,tonic,nm,0.1,2,24,0.034919098019599915
3,tonic,grad,0.1,3,0,1.3764933347702026
3,tonic,grad,0.1,3,1,0.23723675310611725
3,tonic,grad,0.1,3,2,0.5657565593719482
3,tonic,grad,0.1,3,3,0.7769998908042908
3,tonic,grad,0.1,3,4,0.590083122253418
3,tonic,grad,0.1,3,5,0.29519784450531006
3,tonic,grad,0.1,3,6,0.11366143077611923
3,tonic,grad,0.1,3,7,0.11598409712314606
3,tonic,grad,0.1,3,8,0.21329714357852936
3,tonic,grad,0.1,3,9,0.267045795917511
3,tonic,grad,0.1,3,10,0.2223903238773346
3,tonic,grad,0.1,3,11,0.12421324849128723
3,tonic,grad,0.1,3,12,0.041741993278265
3,tonic,grad,0.1,3,13,0.01308495458215475
3,tonic,grad,0.1,3,14,0.03345738351345062
3,tonic,grad,0.1,3,15,0.07183494418859482
3,tonic,grad,0.1,3,16,0.09780369699001312
3,tonic,grad,0.1,3,17,0.09595310688018799
3,tonic,grad,0.1,3,18,0.0702551081776619
3,tonic,grad,0.1,3,19,0.03722844645380974
3,tonic,grad,0.1,3,20,0.013010868802666664
3,tonic,grad,0.1,3,21,0.00757942721247673
3,tonic,grad,0.1,3,22,0.019191909581422806
3,tonic,grad,0.1,3,23,0.037079982459545135
3,tonic,grad,0.1,3,24,0.04928462579846382
3,tonic,nm,0.1,3,0,1.3764933347702026
3,tonic,nm,0.1,3,1,1.544251561164856
3,tonic,nm,0.1,3,2,17.641069412231445
3,tonic,nm,0.1,3,3,1.959235668182373
3,tonic,nm,0.1,3,4,3.116574764251709
3,tonic,nm,0.1,3,5,0.3570578098297119
3,tonic,nm,0.1,3,6,0.2749324142932892
3,tonic,nm,0.1,3,7,0.8240579962730408
3,tonic,nm,0.1,3,8,0.9557667970657349
3,tonic,nm,0.1,3,9,4.780580520629883
3,tonic,nm,0.1,3,10,0.330879271030426
3,tonic,nm,0.1,3,11,0.6899990439414978
3,tonic,nm,0.1,3,12,0.313130646944046
3,tonic,nm,0.1,3,13,1.1015841960906982
3,tonic,nm,0.1,3,14,0.17287731170654297
3,tonic,nm,0.1,3,15,0.3822610676288605
3,tonic,nm,0.1,3,16,0.22133296728134155
3,tonic,nm,0.1,3,17,0.4131559729576111
3,tonic,nm,0.1,3,18,0.2111649513244629
3,tonic,nm,0.1,3,19,0.20730367302894592
3,tonic,nm,0.1,3,20,0.0980210080742836
3,tonic,nm,0.1,3,21,0.09391412883996964
3,tonic,nm,0.1,3,22,0.08744946867227554
3,tonic,nm,0.1,3,23,0.14232137799263
3,tonic,nm,0.1,3,24,0.5477885603904724
4,tonic,grad,0.1,4,0,0.25744181871414185
4,tonic,grad,0.1,4,1,1.1067458391189575
4,tonic,grad,0.1,4,2,0.20899738371372223
4,tonic,grad,0.1,4,3,0.39541447162628174
4,tonic,grad,0.1,4,4,0.6394373178482056
4,tonic,grad,0.1,4,5,0.48124638199806213
4,tonic,grad,0.1,4,6,0.19598829746246338
4,tonic,grad,0.1,4,7,0.05782895162701607
4,tonic,grad,0.1,4,8,0.12621094286441803
4,tonic,grad,0.1,4,9,0.23650763928890228
4,tonic,grad,0.1,4,10,0.22996072471141815
4,tonic,grad,0.1,4,11,0.12417963892221451
4,tonic,grad,0.1,4,12,0.02936694212257862
4,tonic,grad,0.1,4,13,0.013987370766699314
4,tonic,grad,0.1,4,14,0.0619070790708065
4,tonic,grad,0.1,4,15,0.1114005371928215
4,tonic,grad,0.1,4,16,0.11893212050199509
4,tonic,grad,0.1,4,17,0.08315474539995193
4,tonic,grad,0.1,4,18,0.03603651374578476
4,tonic,grad,0.1,4,19,0.011602954939007759
4,tonic,grad,0.1,4,20,0.022378403693437576
4,tonic,grad,0.1,4,21,0.0513581745326519
4,tonic,grad,0.1,4,22,0.06889840215444565
4,tonic,grad,0.1,4,23,0.06130602955818176
4,tonic,grad,0.1,4,24,0.037757355719804764
4,tonic,nm,0.1,4,0,0.25744181871414185
4,tonic,nm,0.1,4,1,0.28861552476882935
4,tonic,nm,0.1,4,2,9.491110801696777
4,tonic,nm,0.1,4,3,0.19346991181373596
4,tonic,nm,0.1,4,4,8.505355834960938
4,tonic,nm,0.1,4,5,2.9246761798858643
4,tonic,nm,0.1,4,6,3.502729892730713
4,tonic,nm,0.1,4,7,1.0732884407043457
4,tonic,nm,0.1,4,8,1.4121979475021362
4,tonic,nm,0.1,4,9,0.475629985332489
4,tonic,nm,0.1,4,10,0.6721670031547546
4,tonic,nm,0.1,4,11,0.2882557213306427
4,tonic,nm,0.1,4,12,0.13853517174720764
4,tonic,nm,0.1,4,13,0.1089484915137291
4,tonic,nm,0.1,4,14,0.20507343113422394
4,tonic,nm,0.1,4,15,0.11846330761909485
4,tonic,nm,0.1,4,16,0.06446477770805359
4,tonic,nm,0.1,4,17,0.08487583696842194
4,tonic,nm,0.1,4,18,0.03997272998094559
4,tonic,nm,0.1,4,19,0.09694413095712662
4,tonic,nm,0.1,4,20,0.3396996557712555
