trial,loss_type,surrogate_type,surrogate_slope,optimizer,learning_rate,use_param_transform,grad_clip_norm,polyak_alpha,polyak_beta,temperature,feature_beta,validity_beta,tau_ms,weight_subthreshold,warmstart_loss,train_best_loss,train_final_loss,kept_source,kept_loss,improvement,gamma,n_spikes_sim,n_spikes_gt,n_iter,elapsed_s
0,guarino,superspike,2.5239432964933743,adam,0.006158459876169436,True,,nan,nan,0.48903005823654017,15.461654337816707,15.935221800262122,nan,nan,0.7031102776527405,0.5912196040153503,0.6001282334327698,training,0.5912196040153503,0.11189067363739014,-0.49826989619377166,8,9,25,1.6975531578063965
1,guarino,exponential,3.86765834782595,adam,1.7999855738190505e-05,True,18.8045619161135,nan,nan,0.20953668565844077,19.443262463503164,17.969301305121757,nan,nan,1.3601868152618408,nan,nan,warmstart,1.3601868152618408,nan,0.08333333333333325,7,9,0,1.1901109218597412
2,van_rossum,superspike,17.74102214066424,adam,0.0003032765451962616,False,,nan,nan,nan,nan,nan,2.0984863845899495,0.12992150533547164,5.310441970825195,5.293365955352783,5.316375255584717,training,5.293365955352783,0.01707601547241211,0.13333333333333336,1,9,25,1.7090070247650146
3,guarino,superspike,9.733091001725672,polyak,0.0003547427399748457,True,,1.0237432559624633,0.1397524836093098,0.13995869111379874,1.1398831252691046,15.951563172540629,nan,nan,1.3112642765045166,1.4245339632034302,10.167511940002441,warmstart,1.3112642765045166,-0.11326968669891357,0.14736842105263157,6,9,25,1.3596899509429932
4,guarino,sigmoid,5.88561225749228,polyak,0.0018236623241944313,False,,1.1474982861240384,0.6347183200005908,0.29911073029609814,11.624936054162857,6.775051863189631,nan,nan,1.0201014280319214,nan,nan,warmstart,1.0201014280319214,nan,1.0,9,9,0,1.1645660400390625
